State,Year,Month,Live birth,RatePer1000Beneficiaries(LB),Miscarriages / stillbirths / terminations,RatePer1000Beneficiaries(m)
West Virginia,2022,202202,763,4.9,226,1.5
West Virginia,2022,202203,767,4.9,257,1.7
West Virginia,2022,202204,793,5.1,212,1.4
West Virginia,2022,202205,776,4.9,216,1.4
West Virginia,2022,202206,835,5.3,203,1.3
West Virginia,2022,202207,925,5.8,230,1.4
West Virginia,2022,202208,957,6,247,1.5
West Virginia,2022,202209,964,6,235,1.5
West Virginia,2022,202210,858,5.3,201,1.2
West Virginia,2022,202211,795,4.9,210,1.3
West Virginia,2022,202212,814,5,194,1.2
Wisconsin,2022,202201,1904,5.2,581,1.6
Wisconsin,2022,202202,1665,4.5,534,1.5
Wisconsin,2022,202203,1858,5,592,1.6
Wisconsin,2022,202204,1873,5,590,1.6
Wisconsin,2022,202205,1854,4.9,619,1.6
Wisconsin,2022,202206,1851,4.9,678,1.8
Wisconsin,2022,202207,1989,5.2,562,1.5
Wisconsin,2022,202208,2067,5.4,641,1.7
Wisconsin,2022,202209,1745,4.5,591,1.5
Wisconsin,2022,202210,1828,4.7,525,1.3
Wisconsin,2022,202211,1754,4.5,548,1.4
Wisconsin,2022,202212,1809,4.6,597,1.5
Wyoming,2022,202201,142,7.7,35,1.9
Wyoming,2022,202202,162,8.7,23,1.2
Wyoming,2022,202203,184,9.8,24,1.3
Wyoming,2022,202204,177,9.3,36,1.9
Wyoming,2022,202205,182,9.5,36,1.9
Wyoming,2022,202206,153,7.8,34,1.7
Wyoming,2022,202207,200,10.1,33,1.7
Wyoming,2022,202208,196,9.8,32,1.6
Wyoming,2022,202209,175,8.7,31,1.5
Wyoming,2022,202210,168,8.2,33,1.6
Wyoming,2022,202211,142,6.9,36,1.7
Wyoming,2022,202212,183,8.7,35,1.7
